hostname,os,environment,country,node
LSIRL044,Linux,Staging,Ireland,44
APDEU019,AIX,Production,Germany,19
ATDEU018,AIX,Testing,Germany,18
HSDEU003,HP-UX,Staging,Germany,3
LPIRL043,Linux,Production,Ireland,43
LTDEU034,Linux,Testing,Germany,34
SSIRL030,Solaris,Staging,Ireland,30
LPDEU039,Linux,Production,Germany,39
SIESP004,Solaris,Integration,Spain,4
HTIRL013,HP-UX,Testing,Ireland,13
HSDEU004,HP-UX,Staging,Germany,4
SSFRA014,Solaris,Staging,France,14
LSESP038,Linux,Staging,Spain,38
HDIRL005,HP-UX,Development,Ireland,5
SPIRL033,Solaris,Production,Ireland,33
SPIRL034,Solaris,Production,Ireland,34
HSIRL010,HP-UX,Staging,Ireland,10
SPESP019,Solaris,Production,Spain,19
LPITA032,Linux,Production,Italy,32
SDITA007,Solaris,Development,Italy,7
APESP012,AIX,Production,Spain,12
SPITA023,Solaris,Production,Italy,23
STITA019,Solaris,Testing,Italy,19
LPIRL044,Linux,Production,Ireland,44
APIRL035,AIX,Production,Ireland,35
LSDEU027,Linux,Staging,Germany,27
STDEU032,Solaris,Testing,Germany,32
STFRA005,Solaris,Testing,France,5
APIRL036,AIX,Production,Ireland,36
LSITA025,Linux,Staging,Italy,25
HPITA008,HP-UX,Production,Italy,8
LPITA033,Linux,Production,Italy,33
LSIRL045,Linux,Staging,Ireland,45
LTNOR011,Linux,Testing,Norway,11
SPDEU027,Solaris,Production,Germany,27
APNOR009,AIX,Production,Norway,9
ASNOR004,AIX,Staging,Norway,4
ADITA005,AIX,Development,Italy,5
HPITA009,HP-UX,Production,Italy,9
HTESP006,HP-UX,Testing,Spain,6
LSNOR009,Linux,Staging,Norway,9
LTESP031,Linux,Testing,Spain,31
ADITA006,AIX,Development,Italy,6
LDDEU015,Linux,Development,Germany,15
LSFRA006,Linux,Staging,France,6
SPNOR009,Solaris,Production,Norway,9
LTESP032,Linux,Testing,Spain,32
HPDEU007,HP-UX,Production,Germany,7
APIRL037,AIX,Production,Ireland,37
ADNOR001,AIX,Development,Norway,1
ATITA010,AIX,Testing,Italy,10
LDIRL016,Linux,Development,Ireland,16
SDESP007,Solaris,Development,Spain,7
APESP013,AIX,Production,Spain,13
LIESP011,Linux,Integration,Spain,11
LPITA034,Linux,Production,Italy,34
ATIRL025,AIX,Testing,Ireland,25
LDDEU016,Linux,Development,Germany,16
LPESP029,Linux,Production,Spain,29
SPITA024,Solaris,Production,Italy,24
LIESP012,Linux,Integration,Spain,12
LDNOR004,Linux,Development,Norway,4
LINOR004,Linux,Integration,Norway,4
LIIRL013,Linux,Integration,Ireland,13
SIIRL010,Solaris,Integration,Ireland,10
SDIRL014,Solaris,Development,Ireland,14
LPFRA019,Linux,Production,France,19
LSIRL046,Linux,Staging,Ireland,46
LPIRL045,Linux,Production,Ireland,45
LPFRA020,Linux,Production,France,20
HPIRL009,HP-UX,Production,Ireland,9
ASDEU018,AIX,Staging,Germany,18
SSIRL031,Solaris,Staging,Ireland,31
LPESP030,Linux,Production,Spain,30
HDIRL006,HP-UX,Development,Ireland,6
LPIRL046,Linux,Production,Ireland,46
SPDEU028,Solaris,Production,Germany,28
ASIRL020,AIX,Staging,Ireland,20
ASESP012,AIX,Staging,Spain,12
SPESP020,Solaris,Production,Spain,20
ASIRL021,AIX,Staging,Ireland,21
HPDEU008,HP-UX,Production,Germany,8
SSITA015,Solaris,Staging,Italy,15
SSDEU022,Solaris,Staging,Germany,22
LPDEU040,Linux,Production,Germany,40
SPDEU029,Solaris,Production,Germany,29
LDITA009,Linux,Development,Italy,9
HTDEU005,HP-UX,Testing,Germany,5
LPITA035,Linux,Production,Italy,35
LTDEU035,Linux,Testing,Germany,35
ASDEU019,AIX,Staging,Germany,19
SDESP008,Solaris,Development,Spain,8
APIRL038,AIX,Production,Ireland,38
LIIRL014,Linux,Integration,Ireland,14
SSFRA015,Solaris,Staging,France,15
APESP014,AIX,Production,Spain,14
SSDEU023,Solaris,Staging,Germany,23
LPFRA021,Linux,Production,France,21
LTESP033,Linux,Testing,Spain,33
AIIRL012,AIX,Integration,Ireland,12
LTIRL045,Linux,Testing,Ireland,45
LSESP039,Linux,Staging,Spain,39
STIRL030,Solaris,Testing,Ireland,30
LIESP013,Linux,Integration,Spain,13
HPITA010,HP-UX,Production,Italy,10
STITA020,Solaris,Testing,Italy,20
SDITA008,Solaris,Development,Italy,8
LDESP010,Linux,Development,Spain,10
SPFRA010,Solaris,Production,France,10
ATITA011,AIX,Testing,Italy,11
LPDEU041,Linux,Production,Germany,41
SDESP009,Solaris,Development,Spain,9
LSDEU028,Linux,Staging,Germany,28
HTIRL014,HP-UX,Testing,Ireland,14
SDITA009,Solaris,Development,Italy,9
LIFRA006,Linux,Integration,France,6
LDNOR005,Linux,Development,Norway,5
LTESP034,Linux,Testing,Spain,34
SSITA016,Solaris,Staging,Italy,16
SPESP021,Solaris,Production,Spain,21
LIESP014,Linux,Integration,Spain,14
SPIRL035,Solaris,Production,Ireland,35
HSITA009,HP-UX,Staging,Italy,9
LPIRL047,Linux,Production,Ireland,47
SSIRL032,Solaris,Staging,Ireland,32
HSESP007,HP-UX,Staging,Spain,7
LPESP031,Linux,Production,Spain,31
LTIRL046,Linux,Testing,Ireland,46
APITA015,AIX,Production,Italy,15
LTIRL047,Linux,Testing,Ireland,47
LTITA028,Linux,Testing,Italy,28
ATNOR005,AIX,Testing,Norway,5
SPNOR010,Solaris,Production,Norway,10
HSITA010,HP-UX,Staging,Italy,10
SPITA025,Solaris,Production,Italy,25
ADIRL007,AIX,Development,Ireland,7
APIRL039,AIX,Production,Ireland,39
LPITA036,Linux,Production,Italy,36
SSIRL033,Solaris,Staging,Ireland,33
ASIRL022,AIX,Staging,Ireland,22
AIIRL013,AIX,Integration,Ireland,13
LTIRL048,Linux,Testing,Ireland,48
APESP015,AIX,Production,Spain,15
LPFRA022,Linux,Production,France,22
APIRL040,AIX,Production,Ireland,40
LPESP032,Linux,Production,Spain,32
LIIRL015,Linux,Integration,Ireland,15
ATIRL026,AIX,Testing,Ireland,26
HSFRA004,HP-UX,Staging,France,4
STIRL031,Solaris,Testing,Ireland,31
